"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"66","Hougang",0,0,1,0,0,0,0,0,0,172729,38379,211108
"67","Hume",0,0,0,0,1,0,0,0,0,14552,2030,16582
"68","Jalan Besar",0,0,0,0,1,0,0,0,0,32321,24854,57175
"69","Jelapang",0,0,0,0,0,0,0,1,0,13640,4505,18145
"70","Joo Koon",1,0,0,0,0,0,0,0,0,14474,94694,109168
"71","Jurong East",1,1,0,0,0,0,0,0,0,100065,274598,374663
"72","Kadaloor",0,0,0,0,0,1,0,0,0,28673,5636,34309
"73","Kaki Bukit",0,0,0,0,1,0,0,0,0,50073,53862,103935
"74","Kallang",1,0,0,0,0,0,0,0,0,53503,25556,79059
"75","Kangkar",0,0,0,0,0,0,1,0,0,15157,5623,20780
"76","Katong Park",0,0,0,0,0,0,0,0,1,16107,6151,22258
"77","Keat Hong",0,0,0,0,0,0,0,1,0,21670,4095,25765
"78","Kembangan",1,0,0,0,0,0,0,0,0,58436,28705,87141
"79","Kent Ridge",0,0,0,1,0,0,0,0,0,20653,218606,239259
